Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-AC-A2QH-01A,0.0127419316950969,0.00519328856989531,0.0100574216707043,0,0,0.0528743185533847,0.0034384469853934,0.0238271859881462,0.00878098786255097,0.00750907243949631,0.00878463869437007,0,0,0.162375980118674,0.0139144106571659,0.114156964624569,0.00155352468496572,0.0129892357163003,0.0250316215081862,0,0.00203064367670646,0.00906879268317899,0,0.558520352094401,0.829793186687261,0.474328466128785
TCGA-AC-A2QJ-01A,0,0.0325887227876385,0.0102885085981292,0.101325644348437,0,0.112928299044756,0.0330090179497001,0.173372104296608,0.186354973268977,0.0424806715419763,0.0975248348793473,0,0.0448828555734321,1.03754299661595,0.151617971207897,1.58113812028115,0.0521211284012443,0,0.105180863321454,0,0,0,0,0.674199751509007,0.746211892182672,3.7623567121167
TCGA-AC-A6IW-01A,0.0255229606128757,0.0134656385264509,0.0266243297443869,0.247193615567428,0,0.075691434987054,0.064873325742411,0.211324320612655,0.13918244066674,0.0473838676266457,0,0.07539184200523,0.0731456145574282,0.124708933592094,0.330407572871184,0.300043303341285,0.258367788508319,0,0.0333299716511391,0,0,0,0,0.775323796329386,0.705109397061241,2.04665696061333
TCGA-AC-A7VC-01A,0.129378865399628,0,0.0122885178033546,0.00584298816782591,0,0.492403639541172,0.0356181483198767,0.170284199729723,0.0694269414578844,0,0.169510271677228,0.0197132903713461,0,1.2454292624646,0.121204030458714,0.548161272940304,0.152599793222004,0,0.135930454497123,0,0,0,0,0.697636200408346,0.736922228712513,3.30779167605079
TCGA-AN-A04D-01A,0.0417405813616867,0,0.0329155319005917,0.0307077702784343,0,0.0508588492250461,0.00933328228927558,0.0588217325169035,0.025180385064494,0.0084401678672847,0.0108312224500565,0.00699610616229558,0.0156977362155784,0.104056450381854,0.0446545455310431,0.145725934043457,0.00838557152949158,0.00682674543574457,0.0150401993168777,0.000721091396248995,0.0144392406802573,0,0,0.415994504488868,0.908575883011385,0.631373143646622
TCGA-AN-A0AL-01A,0.154671192812761,0,0.114549743234002,0.0705343242191521,0,0.228009472971631,0.025998173798607,0.0608886740423397,0.0335617535329868,0,0.0457008577500376,0,0,0.228588243449232,0.109413900582184,0.121532186633328,0,0.0361534398253527,0.0621554027330462,0,0,0,0,0.796503016235096,0.719662040122362,1.29175736558466
TCGA-AN-A0AR-01A,0.0106941230519059,0.0158419827747871,0,0.0367434418271355,0,0.137882288199612,0,0.0408944005859102,0.0233348011377847,0,0.00507193013598952,0.00689075511825483,0.0122610493340861,0.112163606063315,0.0494027056825026,0.106086901238726,0.0698785688670966,0.00128888628598935,0.0230757501038008,0,0.00149806154038443,0.000411829267520307,0,0.555063061908891,0.839410866423346,0.653421081214801
TCGA-AN-A0AT-01A,0.0676300724488807,0,0.0293250812712095,0.0949631447476421,0,0.183889309945664,0.0341816293111985,0.0780815629065508,0.0259225896106777,0.00601970362042853,0,0.0199982534181985,0,0.347775233117066,0.136529778421564,0.111211368376023,0.00506932988840944,0.000747872791547495,0.00173582899655849,0.00538373938019769,0,0.00125816241078185,0,0.775919388854027,0.690117210899278,1.1497226606626
TCGA-AN-A0G0-01A,0.0167487239353412,0,0.0333423836844026,0.0119717875117861,0,0.167460755065406,0.0215108764633425,0.0667880533969981,0.0467826646211216,0,0.0520448271859124,0.00372931255701153,0.00012847120405098,0.325267923843796,0.0936864282520542,0.160435602770582,0.00907743450770955,0,0.00666649482958192,0.0105052510849419,0,0.00133781059250257,0,0.639085452080113,0.78149390314569,1.02748480150654
TCGA-AN-A0XU-01A,0.0323075140166555,0,0.0774701338343494,0.128102427725273,0,0.128308014992033,0.0603751947848782,0.0888800841182083,0.0161662441816655,0,0.0204005886218149,0.0688424602196008,0,0.292345772858635,0.156709855985692,0.15302082892635,0.0802115632387806,0,0.0280589543793281,0,0,0.000486536006601521,0,0.753709036842211,0.720867960057059,1.33168617388987
